SES_Score,HealthIndicator,cluster
78.06,28.0,1
87.82,26.0,1
76.0,28.0,1
82.33,29.0,1
60.0,29.0,0
54.54,27.0,0
62.82,28.0,0
76.0,29.0,1
37.0,29.0,0
79.56,30.0,1
48.14,28.0,0
81.42,28.0,1
77.0,29.0,1
93.37,26.0,1
85.61,28.0,1
82.82,27.0,1
64.16,28.0,0
72.41,28.0,1
40.87,26.0,0
96.36,26.0,1
42.0,28.0,0
81.47,24.0,1
33.739999999999995,29.0,0
43.19,28.0,0
86.0,27.0,1
79.82,27.0,1
80.8,26.0,1
58.0,29.0,0
71.0,26.0,1
84.31,26.0,1
82.18,28.0,1
50.0,30.0,0
98.0,28.0,1
78.82,29.0,1
86.06,29.0,1
75.0,27.0,1
43.24,28.0,0
80.82,29.0,1
58.48,27.0,0
88.0,29.0,1
37.44,28.0,0
36.3,27.0,0
92.71,27.0,1
96.82,27.0,1
52.82,26.0,0
81.06,29.0,1
41.0,29.0,0
80.0,30.0,1
75.82,29.0,1
55.82,29.0,0
151.82,30.0,1
74.0,24.0,1
72.82,26.0,1
91.71,26.0,1
86.82,29.0,1
83.94,29.0,1
86.04,29.0,1
82.07,29.0,1
71.91,23.0,1
88.0,29.0,1
79.66,27.0,1
